Palabra		Frecuencia
cc82		396
s952		352
subsidies		1529
dividends		1529
cc81		396
s951		352
self		187
asset		748
travel		363
dairy		660
architectural		363
g424		792
g423		792
hospitals		330
quick		1474
c189		792
pharmaceutical		792
f333		396
g422		792
f332		396
g421		792
c183		759
f331		396
before		1529
c182		759
c185		792
c184		792
d270		363
c181		759
specialised		396
cc151		396
sales		2673
leasing		374
growing		660
ll11		374
assets		10120
aa121		330
ll12		374
mn21		363
percentage		8107
funds		1529
g427		792
g426		792
group		12628
g425		792
g412		396
d264		363
g411		396
indirect		1529
d262		363
d263		363
d261		363
rail		363
tax		1529
c170		792
r891		352
mining		363
r892		352
aa131		330
water		1089
kk13		275
market		363
kk11		374
mn11		363
kk12		275
expenses		3058
repair		352
f350		396
scientific		1089
d291		363
d292		363
aa141		330
banking		374
general		275
paper		1584
public		1023
o7711		1023
value		1
i501		363
sheep		660
i502		363
cleaning		759
g432		792
s9540		693
g431		792
f341		396
fishing		1012
groups		30756
d281		363
c192		792
c191		792
performance		25487
trade		792
administrative		1089
further		572
f349		396
